# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15585
LoggingStart,Button Press
LoggingStartTime,05.30 10:40:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,101,2021-04-16,04:10:00,,2021-04-16 04:10:00,18.2601,60.1663,10.4054
,,102,2021-04-16,04:20:00,,2021-04-16 04:20:00,18.2174,57.2061,9.61112
,,103,2021-04-16,04:30:00,,2021-04-16 04:30:00,18.2174,60.1389,10.3583
,,104,2021-04-16,04:40:00,,2021-04-16 04:40:00,18.228,59.0616,10.0977
,,105,2021-04-16,04:50:00,,2021-04-16 04:50:00,18.1853,59.5712,10.1862
,,106,2021-04-16,05:00:00,,2021-04-16 05:00:00,18.2441,60.1968,10.3979
,,107,2021-04-16,05:10:00,,2021-04-16 05:10:00,18.2013,58.204,9.85408
,,108,2021-04-16,05:20:00,,2021-04-16 05:20:00,18.1853,60.1907,10.3411
,,109,2021-04-16,05:30:00,,2021-04-16 05:30:00,18.228,60.5051,10.4594
,,110,2021-04-16,05:40:00,,2021-04-16 05:40:00,18.228,57.5387,9.70754
,,111,2021-04-16,05:50:00,,2021-04-16 05:50:00,18.1853,59.8306,10.2512
,,112,2021-04-16,06:00:00,,2021-04-16 06:00:00,18.2441,60.6332,10.5063
,,113,2021-04-16,06:10:00,,2021-04-16 06:10:00,18.2174,59.1684,10.1147
,,114,2021-04-16,06:20:00,,2021-04-16 06:20:00,18.1746,59.9832,10.2793
,,115,2021-04-16,06:30:00,,2021-04-16 06:30:00,18.2013,58.4451,9.91581
,,116,2021-04-16,06:40:00,,2021-04-16 06:40:00,18.1586,59.147,10.0542
,,117,2021-04-16,06:50:00,,2021-04-16 06:50:00,18.1159,60.2609,10.2933
