,species,pendant_ID,temp,calendar_date,julian_date,pot_ID,census,table_ID,lightbulb_strength,number_planted,establishment,soil_moisture_3week,germination,soil_moisture_6week,mass,se,sd,mean_temp,max_temp,locality
708,Salvia columbariae,15574,High,18/07/2021,199,54,Greenhouse Temperature Experiment,3,100,40,0,26,0,13,0,0.006772501,3.639984489,27.54544843,29.8547,native
711,Salvia columbariae,15574,High,18/07/2021,199,57,Greenhouse Temperature Experiment,3,100,40,0,19,0,9,0,0.006772501,3.639984489,27.54544843,29.8547,native
712,Salvia columbariae,15574,High,18/07/2021,199,58,Greenhouse Temperature Experiment,3,100,40,0,27,0,10,0,0.006772501,3.639984489,27.54544843,29.8547,native
713,Salvia columbariae,15574,High,18/07/2021,199,59,Greenhouse Temperature Experiment,3,100,40,0,21,0,9,0,0.006772501,3.639984489,27.54544843,29.8547,native
716,Salvia columbariae,15574,High,18/07/2021,199,62,Greenhouse Temperature Experiment,3,100,40,0,27,0,8,0,0.006772501,3.639984489,27.54544843,29.8547,native
717,Salvia columbariae,15574,High,18/07/2021,199,63,Greenhouse Temperature Experiment,3,100,40,0,29,0,11,0,0.006772501,3.639984489,27.54544843,29.8547,native
718,Salvia columbariae,15574,High,18/07/2021,199,64,Greenhouse Temperature Experiment,3,100,40,0,19,0,10,0,0.006772501,3.639984489,27.54544843,29.8547,native
719,Salvia columbariae,15574,High,18/07/2021,199,65,Greenhouse Temperature Experiment,3,100,40,0,28,0,8,0,0.006772501,3.639984489,27.54544843,29.8547,native
720,Salvia columbariae,15574,High,18/07/2021,199,66,Greenhouse Temperature Experiment,3,100,40,0,30,0,11,0,0.006772501,3.639984489,27.54544843,29.8547,native
721,Salvia columbariae,15574,High,18/07/2021,199,67,Greenhouse Temperature Experiment,3,100,40,0,24,0,9,0,0.006772501,3.639984489,27.54544843,29.8547,native
722,Salvia columbariae,15574,High,18/07/2021,199,68,Greenhouse Temperature Experiment,3,100,40,0,24,0,11,0,0.006772501,3.639984489,27.54544843,29.8547,native
723,Salvia columbariae,15574,High,18/07/2021,199,69,Greenhouse Temperature Experiment,3,100,40,0,20,0,13,0,0.006772501,3.639984489,27.54544843,29.8547,native
724,Salvia columbariae,15574,High,18/07/2021,199,70,Greenhouse Temperature Experiment,3,100,40,0,30,0,14,0,0.006772501,3.639984489,27.54544843,29.8547,native
725,Salvia columbariae,15575,Low,18/07/2021,199,24,Greenhouse Temperature Experiment,1,40,40,0,18,0,13,0,0.006772501,3.639984489,25.0123954,26.725,native
727,Salvia columbariae,15575,Low,18/07/2021,199,26,Greenhouse Temperature Experiment,1,40,40,0,14,0,11,0,0.006772501,3.639984489,25.0123954,26.725,native
728,Salvia columbariae,15575,Low,18/07/2021,199,27,Greenhouse Temperature Experiment,1,40,40,0,15,0,9,0,0.006772501,3.639984489,25.0123954,26.725,native
729,Salvia columbariae,15575,Low,18/07/2021,199,28,Greenhouse Temperature Experiment,1,40,40,0,16,0,9,0,0.006772501,3.639984489,25.0123954,26.725,native
730,Salvia columbariae,15575,Low,18/07/2021,199,29,Greenhouse Temperature Experiment,1,40,40,0,23,0,12,0,0.006772501,3.639984489,25.0123954,26.725,native
733,Salvia columbariae,15575,Low,18/07/2021,199,32,Greenhouse Temperature Experiment,1,40,40,0,12,0,11,0,0.006772501,3.639984489,25.0123954,26.725,native
735,Salvia columbariae,15575,Low,18/07/2021,199,34,Greenhouse Temperature Experiment,1,40,40,0,13,0,8,0,0.006772501,3.639984489,25.0123954,26.725,native
737,Salvia columbariae,15575,Low,18/07/2021,199,36,Greenhouse Temperature Experiment,1,40,40,0,18,0,9,0,0.006772501,3.639984489,25.0123954,26.725,native
739,Salvia columbariae,15575,Low,18/07/2021,199,38,Greenhouse Temperature Experiment,1,40,40,0,14,0,13,0,0.006772501,3.639984489,25.0123954,26.725,native
