calendar.date,julian.date,pot.ID,species,census,pendant.ID,table.ID,Lightbulb_strength,Factor,number.planted,number.germinated,soil.moisture,Mass
06/09/2021,249,39,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,6,0
06/09/2021,249,40,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,7,0
06/09/2021,249,41,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,6,14,0.033
06/09/2021,249,42,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,1,11,0.012
06/09/2021,249,43,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,9,0
06/09/2021,249,44,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,6,0
06/09/2021,249,45,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,0,9,0
06/09/2021,249,46,Bromus rubens,Greenhouse Temperature Experiment,15566,3,100,High,40,7,10,0.131
06/09/2021,249,47,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,10,0
06/09/2021,249,48,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,5,0
06/09/2021,249,49,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,1,9,0.021
06/09/2021,249,50,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,5,10,0.036
06/09/2021,249,51,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,3,9,0.065
06/09/2021,249,52,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,1,8,0.049
06/09/2021,249,53,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,6,0
06/09/2021,249,54,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,9,0
06/09/2021,249,55,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,1,9,0.055
06/09/2021,249,56,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,4,10,0.041
06/09/2021,249,57,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,9,0
06/09/2021,249,58,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,7,0
06/09/2021,249,59,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,5,0
06/09/2021,249,60,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,9,0
06/09/2021,249,61,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,6,13,0.054
06/09/2021,249,62,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,6,0
06/09/2021,249,63,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,9,0
06/09/2021,249,64,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,11,0
06/09/2021,249,65,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,1,18,0.035
06/09/2021,249,66,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,4,13,0.014
06/09/2021,249,67,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,5,12,0.014
06/09/2021,249,68,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,0,11,0
06/09/2021,249,69,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,3,7,0.01
06/09/2021,249,70,Bromus rubens,Greenhouse Temperature Experiment,15574,3,100,High,40,4,14,0.044
30/05/2021,150,1,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,13,47,0.097
30/05/2021,150,2,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,21,30,0.108
30/05/2021,150,3,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,26,32,0.262
30/05/2021,150,4,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,12,20,0.001
30/05/2021,150,5,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,10,12,0.001
30/05/2021,150,6,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,21,21,0.02
30/05/2021,150,7,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,24,22,0.078
30/05/2021,150,8,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,22,20,0.318
30/05/2021,150,9,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,16,18,0.125
30/05/2021,150,10,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,20,30,0.005
30/05/2021,150,11,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,21,14,0.014
30/05/2021,150,12,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,10,18,0.198
30/05/2021,150,13,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,9,9,0.299
30/05/2021,150,14,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,17,18,0.179
30/05/2021,150,15,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,20,20,0.001
30/05/2021,150,16,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,17,13,0.008
30/05/2021,150,17,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,7,20,0.001
30/05/2021,150,18,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,9,20,0.055
30/05/2021,150,19,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,6,17,0.001
30/05/2021,150,20,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,12,25,0.088
30/05/2021,150,21,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,25,27,0.05
30/05/2021,150,22,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,31,15,0.241
30/05/2021,150,23,Layia platyglossa,Greenhouse Temperature Experiment,15598,1,40,Low,40,10,24,0.255
30/05/2021,150,24,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,20,24,0.073
30/05/2021,150,25,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,16,13,0.351
30/05/2021,150,26,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,26,14,0.177
30/05/2021,150,27,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,10,21,0.042
30/05/2021,150,28,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,12,13,0.12
30/05/2021,150,29,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,13,24,0.12
30/05/2021,150,30,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,19,29,0.135
30/05/2021,150,31,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,20,19,0.25
30/05/2021,150,32,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,9,27,0.104
30/05/2021,150,33,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,4,23,0.062
30/05/2021,150,34,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,0,19,0
